station_id,station_name,massif,elev_ft,swe_in,swe_pct,tmax_c,tmin_c,tavg_c,snow_level_ft,snow_frac,melt_index,date
 679:WA:SNTL,"Paradise",RAINIER,   5150.00000     ,   22.6000004     ,   44.9304199     ,   15.5000000     ,   2.61111164     ,   9.05555534     ,   7710.29590     ,   5.00000007E-02 ,   9.05555534     ,2026-05-24
 1085:WA:SNTL,"Cayuse Pass",RAINIER,   5260.00000     ,   0.00000000     ,   0.00000000     ,   15.0000000     ,   4.11111212     ,   9.55555630     ,   8001.73438     ,   5.00000007E-02 ,   9.55555630     ,2026-05-24
 942:WA:SNTL,"Burnt Mountain",RAINIER,   4160.00000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  -2.22222233     ,  -1.11111116     ,   3031.05054     ,  0.949999988     ,   0.00000000     ,2026-05-24
 943:WA:SNTL,"Dungeness",OLYMPICS,   3990.00000     ,   0.00000000     ,   0.00000000     ,   17.2222214     ,   5.11111164     ,   11.1666660     ,   7316.36816     ,   5.00000007E-02 ,   11.1666660     ,2026-05-24
 1107:WA:SNTL,"Buckinghorse",OLYMPICS,   4850.00000     ,   0.00000000     ,   0.00000000     ,   15.2222223     ,   5.00000000     ,   10.1111107     ,   7793.33252     ,   5.00000007E-02 ,   10.1111107     ,2026-05-24
 774:WA:SNTL,"Snoqualmie Pass",CASCADES,   3000.00000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  -2.22222233     ,  -1.11111116     ,   1871.05054     ,  0.949999988     ,   0.00000000     ,2026-05-24
 778:WA:SNTL,"Stevens Pass",CASCADES,   4061.00000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  -2.22222233     ,  -1.11111116     ,   2932.05054     ,  0.949999988     ,   0.00000000     ,2026-05-24
 780:WA:SNTL,"Stampede Pass",CASCADES,   3960.00000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  -2.22222233     ,  -1.11111116     ,   2831.05054     ,  0.949999988     ,   0.00000000     ,2026-05-24
 910:WA:SNTL,"Elbow Lake",CASCADES,   3050.00000     ,   0.00000000     ,   0.00000000     ,   17.2777786     ,   5.88888788     ,   11.5833330     ,   6527.56738     ,   5.00000007E-02 ,   11.5833330     ,2026-05-24
 375:WA:SNTL,"Bumping Ridge",CASCADES,   4600.00000     ,   0.00000000     ,   0.00000000     ,   18.6111107     ,   4.38888979     ,   11.5000000     ,   8047.32812     ,   5.00000007E-02 ,   11.5000000     ,2026-05-24
 418:WA:SNTL,"Corral Pass",RAINIER,   5810.00000     ,   6.30000019     ,   12.1153851     ,   14.7777777     ,   3.77777743     ,   9.27777767     ,   8450.93555     ,   5.00000007E-02 ,   9.27777767     ,2026-05-24
