id,name,massif,elev_ft,swe,swe_pct,tmax,tmin,precip,date
679:WA:SNTL,Paradise,RAINIER,5150,38.2,75.94433399602387,58.5,42.4,109.9,2026-04-19
1085:WA:SNTL,Cayuse Pass,RAINIER,5260,25.8,56.086956521739125,57.7,42.6,0.0,2026-04-19
942:WA:SNTL,Burnt Mountain,RAINIER,4160,5.8,20.71428571428571,32.0,28.0,66.5,2026-04-19
943:WA:SNTL,Dungeness,OLYMPICS,3990,0.0,0.0,64.8,43.5,33.9,2026-04-19
1107:WA:SNTL,Buckinghorse,OLYMPICS,4850,27.2,64.76190476190476,60.8,43.0,112.9,2026-04-19
774:WA:SNTL,Snoqualmie Pass,CASCADES,3000,0.0,0.0,32.0,28.0,0.0,2026-04-19
778:WA:SNTL,Stevens Pass,CASCADES,4061,0.0,0.0,32.0,28.0,0.0,2026-04-19
780:WA:SNTL,Stampede Pass,CASCADES,3960,0.0,0.0,32.0,28.0,0.0,2026-04-19
910:WA:SNTL,Elbow Lake,CASCADES,3050,2.6,11.818181818181818,65.3,45.3,132.0,2026-04-19
375:WA:SNTL,Bumping Ridge,CASCADES,4600,13.0,34.21052631578947,60.4,33.3,70.8,2026-04-19
418:WA:SNTL,Corral Pass,RAINIER,5810,27.6,53.07692307692308,59.4,40.1,52.8,2026-04-19
